personid,RelativeID,KindredID,MaID,PaID,sex,deceased,suicide,bdate,ddate,gen,Age
58232,58232,553615,14058,14059,M,N,N,2008.0,,8,8.0
59551,59551,553615,67476,0,M,N,N,2008.0,,8,8.0
64484,64484,553615,10719,10720,F,N,N,2001.0,,9,15.0
29346,29346,553615,38190,0,M,N,N,1999.0,,9,17.0
61108,61108,553615,13676,0,F,N,N,2005.0,,10,11.0
19861,19861,553615,19769,0,M,N,N,1989.0,,8,27.0
20315,20315,553615,33187,0,M,N,N,1980.0,,8,36.0
41577,41577,553615,57145,0,M,N,N,1992.0,,8,24.0
67103,67103,553615,40252,0,M,N,N,2007.0,,8,9.0
10516,10516,553615,39535,28052,M,N,N,1999.0,,9,17.0
11591,11591,553615,67584,0,M,N,N,2007.0,,10,9.0
22611,22611,553615,65976,0,M,N,N,2007.0,,9,9.0
43030,43030,553615,62978,0,F,N,N,2005.0,,9,11.0
47300,47300,553615,38483,0,M,N,N,2007.0,,9,9.0
51060,51060,553615,21517,0,F,N,N,2008.0,,9,8.0
52657,52657,553615,15002,0,M,N,N,2000.0,,8,16.0
66567,66567,553615,24870,0,M,N,N,2002.0,,9,14.0
1323,1323,553615,32479,0,F,N,N,2001.0,,9,15.0
57777,57777,553615,58481,58480,M,N,N,1960.0,,7,56.0
66484,66484,553615,46390,46387,F,N,N,1958.0,,8,58.0
66486,66486,553615,46390,46387,M,N,N,1957.0,,8,59.0
28372,28372,553615,5076,0,M,N,N,1963.0,,8,53.0
39210,39210,553615,61164,0,F,N,N,1985.0,,8,31.0
57108,57108,553615,19769,0,F,N,N,1987.0,,8,29.0
60897,60897,553615,28165,0,M,N,N,2010.0,,9,6.0
67546,67546,553615,15132,0,M,N,N,2008.0,,10,8.0
3301,3301,553615,45993,0,M,N,N,2001.0,,10,15.0
3343,3343,553615,47577,0,M,N,N,2009.0,,10,7.0
3372,3372,553615,29341,0,M,N,N,2001.0,,10,15.0
6335,6335,553615,21076,0,M,N,N,2002.0,,9,14.0
11650,11650,553615,35685,0,F,N,N,2008.0,,9,8.0
21874,21874,553615,15828,0,M,N,N,2006.0,,9,10.0
32485,32485,553615,59792,0,F,N,N,2000.0,,9,16.0
32918,32918,553615,53350,0,M,N,N,2007.0,,9,9.0
